0,	,	2500,	100036857,	0,	378898,	0,	184533,	1638,	2249599,	378898,	100037269,	99657959
Total,	91.143,	2500,	100036857,	0,	378898,	0,	184533,	1638,	2249599,	378898,	100037269,	99657959,	58
0,	,	2500,	100084780,	0,	426821,	0,	200762,	1887,	2446647,	426821,	100085234,	99657959
Total,	91.5627,	2500,	100084780,	0,	426821,	0,	200762,	1887,	2446647,	426821,	100085234,	99657959,	58
0,	,	2500,	100067820,	0,	409861,	0,	195803,	1794,	2386562,	409861,	100068196,	99657959
Total,	90.3811,	2500,	100067820,	0,	409861,	0,	195803,	1794,	2386562,	409861,	100068196,	99657959,	59
0,	,	2500,	100080275,	0,	422316,	0,	199245,	2028,	2433129,	422316,	100080675,	99657959
Total,	91.5515,	2500,	100080275,	0,	422316,	0,	199245,	2028,	2433129,	422316,	100080675,	99657959,	58
0,	,	2500,	100141143,	0,	483184,	0,	222247,	2540,	2715732,	483184,	100141792,	99657959
Total,	90.2505,	2500,	100141143,	0,	483184,	0,	222247,	2540,	2715732,	483184,	100141792,	99657959,	59
0,	,	2500,	100286214,	0,	628255,	0,	268749,	3819,	3300574,	628255,	100287027,	99657959
Total,	92.2711,	2500,	100286214,	0,	628255,	0,	268749,	3819,	3300574,	628255,	100287027,	99657959,	59
0,	,	2500,	100072512,	0,	414553,	0,	194136,	1918,	2366980,	414553,	100073369,	99657959
Total,	90.4223,	2500,	100072512,	0,	414553,	0,	194136,	1918,	2366980,	414553,	100073369,	99657959,	59
0,	,	2500,	100184836,	0,	526877,	0,	236614,	2905,	2895562,	526877,	100185381,	99657959
Total,	91.2197,	2500,	100184836,	0,	526877,	0,	236614,	2905,	2895562,	526877,	100185381,	99657959,	59
0,	,	2500,	100087510,	0,	429551,	0,	202892,	2003,	2478475,	429551,	100087930,	99657959
Total,	90.7995,	2500,	100087510,	0,	429551,	0,	202892,	2003,	2478475,	429551,	100087930,	99657959,	59
0,	,	2500,	100137772,	0,	479813,	0,	218651,	2227,	2672776,	479813,	100138281,	99657959
Total,	90.6483,	2500,	100137772,	0,	479813,	0,	218651,	2227,	2672776,	479813,	100138281,	99657959,	59
