9,	,	643,	1671779,	581,	0,	0,	0,	0,	0,	1301,	1672361,	1672361
10,	,	610,	1607663,	1199,	24729,	554,	432,	611,	14949,	24729,	1609144,	1583539
11,	,	633,	1647875,	641,	0,	0,	0,	0,	0,	955,	1648455,	1648455
12,	,	637,	1649903,	481,	0,	0,	0,	0,	0,	260,	1650355,	1650355
13,	,	613,	1637416,	918,	48735,	539,	484,	1124,	20114,	48735,	1638896,	1589052
14,	,	613,	1595795,	658,	2188,	83,	179,	50,	3217,	2189,	1596468,	1594229
15,	,	627,	1634561,	644,	2686,	92,	181,	69,	4002,	2769,	1635318,	1632507
Total,	95.7051,	10000,	26539412,	15185,	591491,	6161,	5511,	10205,	208427,	597652,	26559886,	25956945,	253
0,	,	639,	1656688,	608,	0,	0,	0,	0,	0,	2091,	1657251,	1657251
1,	,	611,	1738940,	1724,	163278,	1257,	920,	2249,	42513,	163278,	1742109,	1576190
2,	,	632,	1642704,	547,	0,	0,	0,	0,	0,	439,	1643263,	1643263
3,	,	615,	1648100,	1524,	51981,	820,	705,	1071,	22852,	51981,	1650119,	1596742
4,	,	620,	1750196,	2053,	149396,	1393,	1263,	2329,	48262,	149396,	1753323,	1601462
5,	,	634,	1646604,	606,	0,	0,	0,	0,	0,	620,	1647285,	1647285
6,	,	623,	1646464,	1140,	26374,	516,	534,	598,	15457,	26374,	1647571,	1620597
7,	,	643,	1666345,	418,	0,	0,	0,	0,	0,	535,	1666821,	1666821
8,	,	607,	1701536,	1588,	125274,	1093,	960,	2341,	43837,	125274,	1704430,	1576810
9,	,	643,	1671786,	591,	0,	0,	0,	0,	0,	1247,	1672376,	1672376
10,	,	610,	1601454,	1154,	18512,	500,	379,	448,	11238,	18512,	1602716,	1583541
11,	,	633,	1647864,	644,	0,	0,	0,	0,	0,	956,	1648472,	1648472
12,	,	637,	1649903,	481,	0,	0,	0,	0,	0,	349,	1650334,	1650334
13,	,	613,	1635121,	882,	46419,	509,	479,	1103,	20723,	46419,	1636600,	1589073
14,	,	613,	1595276,	637,	1667,	59,	151,	42,	2703,	1667,	1595952,	1594222
15,	,	627,	1636960,	693,	5123,	149,	221,	134,	5309,	5182,	1637769,	1632472
Total,	95.5074,	10000,	26535941,	15290,	588024,	6296,	5612,	10315,	212894,	594320,	26556391,	25956911,	253
