53,	,	155,	3070695,	175890,	1062120,	103145,	99161,	97980,	3349076,	1098793,	3251465,	2081172
54,	,	157,	3033479,	173978,	994932,	101743,	94052,	92415,	3189436,	1032475,	3211743,	2110695
55,	,	151,	2972707,	176320,	1031058,	93970,	76619,	90069,	2962441,	1121570,	3153360,	2023809
56,	,	151,	2970473,	160484,	1001218,	90115,	84804,	91010,	3013228,	1042200,	3135653,	2039763
57,	,	160,	3190479,	175701,	1115750,	98261,	69509,	90120,	2862948,	1205579,	3371917,	2152167
58,	,	159,	3074673,	156308,	1001873,	86518,	73835,	88053,	2841649,	1083162,	3235369,	2142479
59,	,	155,	3103414,	156834,	1095087,	84051,	66585,	88179,	2734301,	1203105,	3265295,	2080945
60,	,	160,	3024134,	159793,	945572,	79942,	66190,	81686,	2609879,	1077833,	3188156,	2158478
61,	,	160,	3166755,	164868,	1063788,	96307,	82611,	97982,	3181496,	1109465,	3336878,	2171513
62,	,	158,	3226164,	175672,	1162285,	100655,	77565,	85220,	2816531,	1224810,	3407545,	2138934
63,	,	160,	2381213,	114135,	312808,	34316,	39738,	33668,	1198687,	414767,	2497058,	2148161
Total,	55.1887,	10000,	192142943,	9942019,	61591066,	5253291,	4491598,	5221730,	169299443,	66844357,	202360604,	135240605,	22
0,	,	151,	1956578,	62604,	940,	143,	93,	69,	2783,	416450,	2019174,	2018091
1,	,	157,	4101981,	204068,	2050049,	133472,	85690,	146929,	4197239,	2370119,	4314055,	2122448
2,	,	156,	4521774,	222012,	2478047,	149613,	90106,	158583,	4493854,	2699593,	4753850,	2116104
3,	,	153,	4103666,	276814,	2120267,	194789,	128841,	179142,	5504209,	2339086,	4389424,	2065398
4,	,	157,	4653346,	221062,	2593727,	148135,	101945,	166592,	4647020,	2788940,	4885628,	2132641
5,	,	157,	4188060,	260530,	2137950,	177977,	97943,	141765,	4315393,	2367992,	4457699,	2132666
6,	,	155,	4480659,	208108,	2437701,	142893,	101417,	162942,	4721820,	2571980,	4699117,	2108250
7,	,	160,	4234259,	214198,	2165327,	141728,	91893,	136710,	4094879,	2383088,	4457283,	2141335
8,	,	160,	4004126,	203047,	1919684,	132690,	97035,	143279,	4265956,	2139779,	4216316,	2154580
9,	,	158,	4385217,	198989,	2326096,	131773,	90091,	150288,	4161814,	2511723,	4595518,	2126371
10,	,	157,	4321448,	264334,	2293483,	171960,	120711,	153849,	4790833,	2406319,	4596685,	2120499
11,	,	160,	3479528,	162972,	1392664,	90683,	65078,	98422,	2870454,	1525667,	3649104,	2159030
12,	,	151,	4500810,	245523,	2532614,	174992,	105319,	155005,	4589464,	2660923,	4758561,	2038762
13,	,	160,	4549510,	230222,	2456540,	159751,	129446,	171464,	5167599,	2481364,	4790849,	2163512
14,	,	156,	4490688,	251874,	2447580,	177650,	118951,	160735,	4889613,	2497858,	4754423,	2117420
15,	,	155,	4145081,	199829,	2103044,	128963,	88798,	141162,	4074132,	2320111,	4354672,	2112817
16,	,	160,	4313413,	201911,	2227193,	129691,	89539,	141721,	4053349,	2425801,	4527262,	2158525
17,	,	151,	4288575,	243776,	2320978,	173288,	106545,	154860,	4615030,	2411782,	4543153,	2038139
18,	,	159,	4556429,	228690,	2467879,	163012,	121410,	169307,	5092820,	2508200,	4796798,	2154240
19,	,	151,	4399575,	260007,	2429150,	187361,	137004,	178224,	5504858,	2492404,	4670265,	2043077
20,	,	154,	4163969,	219499,	2149795,	140325,	70416,	123077,	3353436,	2430374,	4395342,	2093463
21,	,	158,	4273850,	247656,	2205572,	183457,	134223,	184671,	5725492,	2362549,	4532907,	2132464
